Token,Lema,POS,Freq,Declinação,Definição
succedunt,succedo,VERB,17,-,A. [sub].
tantis,tantus,ADJ,17,-,"Of such size or measure, so great in amount, extent, value, degree, etc. (as some standard expressed or understood); usually with a foll. quantus, ut, qui, or absol.; rarely quam."
partim,partim,ADV,17,-,"partim, v. pars"
deficere,deficio,VERB,17,-,"Act. in the middle sense, to remove one's self, separate one's self, to withdraw (cf. the Greek ἀφιστάναι).—Hence, to forsake, desert, abandon, revolt."
perterriti,perterreo,VERB,17,-,"per-terrĕo, ui, ĭtum,"
excedere,excedo,VERB,17,-,"Subj. perf. sync. excessis, Ter. And. , , ),  and a."
carnutes,carnus,NOUN,17,-,"Carnūs, untis, v. Carni."
optimum,bonus,ADJ,17,-,"Good; comp.melior, uscf. Gr. μάλα, μᾶλλον, better; sup.optimus (optu-mus, ante-class. and often class.) [root opof ops, opes; cf. copia, apiscor], best."
constabat,consto,VERB,17,-,"To stand together, stand with some person or thing."
postea,postea,ADV,17,-,Transf.
perpetua,perpetuus,ADJ,17,-,In partic.
convocatis,convoco,VERB,17,-,"V. a., to call together, to convoke, assemble; to call (esp. for consultation, to arms, etc.; class.; freq. in Cic. and the histt.)."
permanere,permaneo,VERB,17,-,"To stay to the end; to hold out, last, continue, endure, remain; to persist, persevere (class.; syn.: persto, persevero)."
murum,mus,NOUN,17,3,"Mus marinus, a kind of crustaceous sea - fish, Plin. , , , § ; Enn. ap. App. Mag. p.  (Heduph. v.  Vahl.)."
liceret,licet,VERB,17,-,"As an adv. with adj. or part., although (post-class.): licet contumacissimum, tamen efficacissimum, etc.,Sen. Cons. ad Marc. , : miles, licet membris vigentibus firmus, se solum circumspicit,Amm. , , ; , , ; Claud. Mam. Paneg. Max. .—Hence"
magis,magis,ADV,17,-,"magis, , v. magnus"
latere,lateo,VERB,17,-,"To lurk, be or lie hid or concealed, to skulk (class.)."
inde,inde,ADV,17,-,"Of things: ex avaritia erumpat audacia necesse est: inde omnia scelera gignuntur,from this,Cic. Rosc. Am. , : inde est, quod, etc.,Plin. Ep. , ."
animad,anima,NOUN,17,1,Transf.
quoque,quoque,ADV,17,-,"= quidem: sese ne id quoque facturum esse, not even, Quadrig. ap. Gell. , , ."
pollicentur,polliceo,VERB,17,-,Def. não encontrada
oceano,oceanum,NOUN,17,-,Def. não encontrada
imperatoris,imperator,NOUN,16,3,"Init.; but in Enn. also imperator, Trag. v.  Vahl.), m.id.."
orabant,oro,VERB,16,-,"Oro ab ore,Varr. L. L. , §  Müll."
commeatu,commeatus,NOUN,16,-,"A going to and fro, passing freely, going at will: in eo conclavid ego perfodi parietem, Quā conmeatus clam esset hinc huc mulieri,Plaut. Mil. , , ; cf.: commeatum vocis exercent fauces,Pall. , ."
me,ego,PRON,16,-,"Prop.: meruimus et ego et pater de vobis,Plaut. Am. prol. : tum te audes Sosiam esse dicere, Qui ego sum?id. ib. , , ; cf.: ego tu sum, tu es ego: unanimi sumus,id. Sticn. , , ; the combination alter ego v. under alter."
pronuntiare,pronuntio,VERB,16,-,"A., to make publicly known, to publish, proclaim, announce (cf.: edico, promulgo)."
evocatis,evoco,VERB,16,-,"To call out, call forth; to bring out, draw forth (class. —syn. invito, cito, etc.)."
perferre,perfero,VERB,16,-,To bear or carry through to a certain place or end.
dubitare,dubito,VERB,16,-,"To waver in opinion or judgment, to be uncertain, to be in doubt, to doubt, question."
colle,collis,NOUN,16,3,"(abl. reg. colle, e. g. Ov. M. , ; , ; , ; , ; , ; Caes. B. G. , ; , ; Sall. J. , :"
quaecumque,quicumque,DET,16,-,"Cum quibus erat cumque una,Ter. And. , , ; quam se cumque in partem,Cic. de Or. , , . — Old form of the plur. quescumque, Cato ap. Charis. p.  P., and ap. Prisc. p.  P.), pron. rel."
explorata,exploro,VERB,16,-,"To search out, seek to discover, to examine, investigate, explore (class.; in Cic. esp. freq. in the part. perf. and P. a.; syn.: speculor, scitor, sciscitor, percontor, quaero, interrogo)."
conlocavit,conloco,VERB,16,-,Def. não encontrada
galliae,gallias,ADJ,16,-,Derivv.
nationes,natio,NOUN,16,3,"A being born, birth; hence, transf."
praesente,praesum,VERB,16,-,"To be before a thing; hence, to be set over, to preside or rule over, to have the charge or command of, to superintend (class.)."
caesare,caesaris,NOUN,16,-,Derivv.
ob,ob,ADP,16,-,"OB PERPETVO EIVS ERGA SE AMORE,Inscr. Orell. ) [Osc. op; kindr. with Sanscr. api; Gr. ἐπί]."
praeter,praeter,ADP,16,-,"By or past, and hence, also, beyond, or rest outside a thing."
student,studeo,VERB,16,-,In gen.
concessit,concedo,VERB,16,-,"A. (a strengthened cedo, and corresp. with it in most of its signiff.); lit., to go, walk; hence"
haeduis,haeduus,NOUN,16,-,Def. não encontrada
adoriri,adorio,VERB,16,-,"To attack, to assail: tunc ipsos adoriant, Naev. ap. Prisc. p.  P. (Trag. Rel. p.  Rib.).—Hence also pass. adortus, Aur. Fragm. Naev. ap. Prisc. p.  P.; and, acc. to some,Flor. , , , where Halm reads adoratam."
tam,tam,ADV,16,-,"So, so much, as."
existimabant,exsistimo,VERB,16,-,Def. não encontrada
motus,motus,NOUN,15,-,Fin. B.
quoniam,quoniam,SCONJ,15,-,"Since now, since then, since, seeing that, because, whereas (quoniam gives a ground or reason, quod and quia give the determining cause or reason)."
retineri,retineo,VERB,15,-,"(With the signif. of the re predominating.) To hold or keep back, not let go; to detain, retain; to restrain (class.; cf. restringo)."
victoria,victoria,NOUN,15,1,"Prop., victory."
vulnerato,vulnero,VERB,15,-,"To wound, to hurt, or injure by a wound (syn.: saucio, ferio)."
mandat,mando,VERB,15,-,"To commit to one's charge, to enjoin, commission, order, command (syn.: praecipio, edico); constr. alicui aliquid, with ut, ne, the simple subj., or with inf. (class.)."
interfecerunt,interfacio,VERB,15,-,"interfăcĭo, false reading for in perficiendo, Liv. , , ."
occurrit,occurro,VERB,15,-,"Perf. occecurri, like memordi, peposci, Aelius Tubero ap. Gell. , , ), , to run up to, run to meet; to go or come up to, to go or come to meet, to meet (class.; syn. obvenio)."
exciperent,excipio,VERB,15,-,(With the notion of the ex predominating.) To take or draw out.
belgae,belgus,ADJ,15,-,Def. não encontrada
ambiorigem,ambiorigus,NOUN,15,-,Def. não encontrada
cognoverat,cognovo,VERB,15,-,Def. não encontrada
liberam,liber,ADJ,15,-,"That acts according to his own will and pleasure, is his own master; free, unrestricted, unrestrained, unimpeded, unshackled; independent, frank, open, bold (opp. servus, servilis)."
dediderunt,dedo,VERB,15,-,"Infin. pass. parag.: dedier,Liv. , ), , v. a., lit., to give away, give up from one's self; hence, with respect to the term. ad quem, to give up any thing to one, to surrender, deliver, consign, yield (stronger than do, q. v.—freq. and class.)."
collis,colla,NOUN,15,-,Def. não encontrada
gaius,gaius,PROPN,15,-,In partic.
servitutem,servitus,NOUN,15,3,"Gen. plur. servitutium, Dig. , ,  fin.; , ,  fin.; and acc. to Ritschl also Plaut. Pers. , , ), f. id., the condition of a servus; slavery, serfdom, service, servitude (freq. and class.)."
debere,debeo,VERB,15,-,"Lit., of money and money's worth."
solum,solum,ADV,15,2,"The lowest part of a thing, the bottom, ground, base, foundation."
prope,prope,ADP,15,-,"Adv. (comp. propius, and sup. proxime, v. under propior), near, nigh (class.)."
paulatim,paulatim,ADV,15,-,"By little and little, by degrees, gradually (syn. sensim)."
aequum,aequus,ADJ,15,-,"Favorable, convenient, advantageous (as its opp., iniquus, uneven, has that of unfavorable, etc.)."
productis,produco,VERB,15,-,"To lead or bring forth, to lead forward or out."
necessario,necessario,ADV,15,-,Fin. .
iniquo,iniquus,ADJ,15,-,Unequal.
rex,rex,NOUN,15,-,"Gen. plur regerum, Gell. ap. Charis p.  P.), m. rego, a ruler of a country, a king."
perduxit,perduco,VERB,15,-,"Imper. perduce for perduc, Ser. Samm. , ), , lit., to lead or bring through; hence"
deiecti,deiicio,VERB,15,-,Def. não encontrada
trans,trans,NOUN,15,-,"Across, over, beyond, on the farther side of."
repente,repens,VERB,14,-,"rēpens, entis, Part., from repo."
ventum,vo,VERB,14,-,Def. não encontrada
ripas,ripa,NOUN,14,1,etym. dub.; cf. rivus
cornu,cornus,NOUN,14,2,"A cornel cherry-tree: Cornus mascula, Linn.; Plin. , , , §  sq.; Verg. G. , ; Col. , ,  al."
facilius,faciliter,ADV,14,-,"Easily, v. facilis fin. ."
helvetiis,helvetia,NOUN,14,-,Def. não encontrada
agmine,agmus,NOUN,14,-,Def. não encontrada
longas,longus,ADJ,14,-,"In partic., far off, remote, distant, = longinquus (post-Aug. and very rare): remeans longis oris,Sil. , : longa a domo militia,Just. , : longas terras peragrare, Auct. Decl. Quint. ."
undique,undique,ADV,14,-,"Utterly, entirely, completely, in all respects: aut undique religionem tolle aut usque quāque conserva,Cic. Phil. , , : vita undique referta bonis,id. Tusc. , , : nam quid fere undique placet?Quint. , , ."
helvetiorum,helvetio,VERB,14,-,Def. não encontrada
pater,pater,NOUN,14,-,"Gen PATRVS. Inscr Corp. Lat. ; dat PATRE, ib ), m. Sanscr. root pā, to nourish, protect; Lat. pasco; hence, Zend, patar, protector; Gr. πατηρ; Sanscr pitri; Engl. father; Germ. Vater, a father, sire."
terram,terra,NOUN,14,-,"(archaic , Varr. L. L. , , ), ae ("
controversia,controversia,NOUN,14,1,"Dat. plur. CONTROVORSEIS, C. I. L. , , ), f. controversus, lit., a turning against. *"
studio,studium,NOUN,14,2,In gen.
aestus,aestus,NOUN,14,-,"Gen. aesti, Pac.  Rib.; rare form of nom. plur. aestuus). m. kind. with aestas and Gr. αἴθω; v. aestas, an undulating, boiling, waving, tossing; a waving, heaving, billowy motion."
portus,portus,NOUN,14,-,"Gen. sing. porti, Turp. ap. Non. , : dat. plur. portibus, Liv. , ,  et saep.; a better form than portubus), m. por, whence porto, portitor.—Prop., an entrance; hence"
poena,poena,NOUN,14,1,"Indemnification, compensation, satisfaction, expiation, punishment, penalty (cf. mulcta)."
hoste,hos,NOUN,14,-,Def. não encontrada
altissimo,altus,ADJ,14,-,"Grown or become great, great (altus ab alendo dictus, Paul. ex Fest. p.  Müll.; cf. the Germ. gross with the Engl. grow), a polar word meaning both high and deep."
distribuit,distribuo,VERB,14,-,"To divide, distribute (class.; cf.: divido, impertio, dispenso, participo, communico)."
treveris,trever,NOUN,14,-,Def. não encontrada
mare,mare,NOUN,14,3,Transf. (poet. and in post-Aug. prose).
profugit,profugo,VERB,14,-,Def. não encontrada
corporis,corpus,NOUN,14,3,"Any object composed of materials perceptible by the senses, body, substance (opp. anima and animus; cf. the definition in Dig. , ,  pr.)."
aeduis,aedus,NOUN,14,-,Def. não encontrada
cursu,cursus,NOUN,14,-,"A running (on foot, on a horse, chariot, ship, etc.), a course, way, march, passage, voyage, journey, etc. (very freq.)."
incolunt,incolo,VERB,14,-,"Paradisum incolare et custodire,Tert. Res. Carn.  fin.; whence incolatus),  and n."
aetate,aetas,NOUN,14,3,"Gen. plur. aetatum; but freq. also aetatium,Liv. , ; , ; , ; cf. Oud. ad Suet. Aug. ; Vell. , ; Sen. Brev. Vit. , ; Gell. , )."
helvetios,helvetio,NOUN,14,-,Def. não encontrada
concurrunt,concurro,VERB,14,-,"Perf. redupl. concucurrit, Flor. , ,  Duker N. cr.: concucurrisse, Cato ap. Prisc. p.  P., and Suet. Caes. ; cf. Liv. ,  Oud., and Ind. Flor. s. h. v. Duker)"
incolumes,incolus,ADJ,14,-,Def. não encontrada
suscipit,suscipio,VERB,14,-,"To take or catch up, to take upon one."
compluribus,complerus,ADJ,14,-,Def. não encontrada
similem,similis,ADJ,14,-,"Like, resembling, similar (cf. par); constr. with gen. (so usu. in ante-Aug. Lat.), with dat. (rare in Cic., except with neuter nouns), with inter, atque, and absol."
orientem,orior,VERB,14,-,"In gen., of persons, to rise, bestir one's self, get up, etc.: consul oriens nocte diceret dictatorem,Liv. , ."
remis,rema,NOUN,14,-,"Rĕma, ae, a false read. for Remoram, Enn. ap. Cic. Div. , , ; v. Enn. p.  Vahl."
attribuit,attribuo,VERB,14,-,"To associate, add or join to, to annex, assign, bestow, give (class., but rare in the poets; syn.: tribuo, assigno, do, ascribo, addico)."
defectione,defectio,NOUN,14,3,"Defection, desertion, rebellion, revolt."
vicis,vicus,NOUN,14,2,"Collectively, a row of houses in town or country, a quarter of a city, a street, Cic. Mil. , ; Caes. B. C. , ; Hor. S. , , ; id. Ep. , , ; , , ; Ov. F. ,  al."
cedentes,cedo,VERB,14,-,"A. [perh. for cecado, redupl. from cado], to go, i. e. to be in motion, move, walk, go along."
itaque,itaque,SCONJ,14,-,"And so, accordingly, therefore, for that reason, consequently (for syn. cf. igitur, idcirco, ideo, ergo): itaque ipse mea legens, sic adficior interdum,Cic. Lael. : itaque rem suscipit et a Sequanis impetrat,Caes. B. G. , ; id. B. C. , ; Tac. Agr. ."
convenerant,convenero,VERB,14,-,Def. não encontrada
aliquid,aliquis,PRON,14,-,"In negative clauses with ne: Pompeius cavebat omnia, no aliquid vos timeretis,Cic. Mil. , : ne, si tibi sit pecunia adempta, aliquis dicat,Nep. Epam. , : ne alicui dicerent,Vulg. Luc. , ."
quintus,quintus,ADJ,14,-,"The fifth: quarta invidia, quinta ambitio,Plaut. Pers. , , : locus,Cic. Inv. , , ; , , : natura,id. Tusc. , , : quinta pars,quintessence, essence,Hor. C. , , : quinto mense, quinto die,Liv. , .— Advv."
silvae,silva,NOUN,14,1,"Gen. silvaï; silua as trisyl.,Hor. C. , , ; id. Epod. , ; cf. Prisc. p.  P.), f. cf. Gr. ὕλη,, a wood, forest, woodland (syn.: saltus, nemus, lucus)."
diligentia,diligentia,NOUN,14,1,"Carefulness, attentiveness, earnestness, diligence (freq. and class.; cf.: labor, aerumna, opera, industria, assiduitas, sedulitas, studium, cura)."
vi,vies,NOUN,13,-,Def. não encontrada
cotidiana,cotidianus,ADJ,13,-,"cōtīdĭānus, cŏtīdĭe, etc., v. cottid-."
nonnulli,nonnullus,ADJ,13,-,"(or written separately, , Verg. A. , ), a, um"
arvernis,arver,NOUN,13,-,Def. não encontrada
statione,statio,NOUN,13,3,"A standing, a standing still."
suebos,suebus,NOUN,13,-,Def. não encontrada
inquit,inquam,VERB,13,-,"With dat.: tum Quinctius en, inquit mihi, haec ego patior quotidie,Cic. Att. , , ."
vocibus,vocus,NOUN,13,-,Def. não encontrada
sequanorum,sequanus,ADJ,13,-,Def. não encontrada
q,q,NOUN,13,-,"The sixteenth letter of the Latin alphabet (in which i and j were reckoned as one), concerning the origin of which the ancients were in doubt, some correctly supposing it to be the Greek Koppa (?*!), transferred from the Dorian alphabet of Cumae, Quint. , , ; Ter. Maur. p.  P.; Mar. Victor. p.  and  ib.; while others erroneously explained it as a mere graphical contraction of C and V, Vel. Long. p.  P.; Ter. Maur. p.  ib.; cf. Diom. p.  ib.; Mart. Cap. , § ; Isid. Orig. , , . There is a perpetual vacillation between the spelling cu, q, and qu in the inscrr. and MSS.; hence q frequently stands for c. In early inscriptions, PEQVDES and PEQVNIA occur for pecudes and pecunia (Lex Thor. lin.  and ); QVM for the prep. cum, Inscr. Vet. ap. Orell. , and also upon a coin, A. U. C. ; and QVOM for the prep. cum, in the fourth epitaph of the Scipios, and in the Lex Thor. lin. : QVOQIRCA for quocirca in the Lex Jul. Municip.: IN OQVOLTOD for in occulto, S. C. Bacch. On the other hand, for quod stands CVOD,Inscr. Orell. ; for aquae, ACVAE,Inscr. Grut. , . But qu before a u sound does not occur during the Republican period, when quom or cum, equos, locuntur, anticus,  etc., were the forms in use; v. Rib. prol. Verg. p.  sq.; ; Brambach, p.  sq. — On the vacillation of the oldest MSS. between cu and qu, see Freund ad Cic. Mil. p.  sq. — Q often corresponds with the Greek π: Lat. quinque, equos, sequor; Gr. πέντε (πέμπε) ἵππος, ἕπω. — And also with the Gr. τ, for which the Oscan has p: Gr. τίς, τί; Oscan pis, pit; Lat. quis, quid: Gr. τέ; Oscan pe; Lat. que: Gr. τέτταρα; Oscan petora; Lat. quattuor; on the origin of the Lat. qu in an lndo-European kv, v. Corss. Ausspr. ,  sqq.; Ascoli, Vergl. Lautl. , p.  sqq.; cf., on the development of qu from c in the Latin language itself, Corss. Ausspr. ,  sq.—As an abbreviation, Q designates most freq. the praenomen Quintus, but also stands for Quaestor, que, quinquennalis, al. Q. I. S. S. quae infra scripta sunt. Q. R. C. F. quando rex comitiavit fas. Q. S. P. P. S. qui sacris publicis praesto sunt. Q. V. A. qui vixit annos. S. P. Q. R. senatus populusque Romanus, etc."
vastatis,vasto,VERB,13,-,"To make empty or vacant, to leave untenanted or uninhabited, to desert."
aqua,aqua,NOUN,13,1,Particular phrases.
redderet,reddo,VERB,13,-,"Fut. reddibo = reddam, Plaut. Cas. , ; id. Men. , , , acc. to Non. , ; id. Fragm. ap. Non. , ; pass. reddibitur, id. Ep. , , )"
compluribus,complus,NOUN,13,-,Def. não encontrada
anno,annus,ADJ,13,2,Adverb. phrases.
rhodanum,rhodanus,NOUN,13,-,"The Rhone, a river in Gaul, Mel. , ,  sq.; Plin. , , , § ; Sil. ,  sq.; Varr. ap. Gell. , , ; Caes. B. G. , ; Planc. ap. Cic. Fam. , , ; , , ; Ov. M. , ; Liv. , : Rhodani potor,a dweller by the Rhone,Hor. C. , ,  et saep.—Hence"
tanto,tanto,ADV,13,-,Def. não encontrada
acriter,acriter,ADV,13,-,"ācrĭter, , v. . acer"
coniciunt,conicio,VERB,13,-,"Temp. perf. conjexi, Plaut. Trin. , , ) [jacio]."
comprehensi,comprehendo,VERB,13,-,"V. a., to lay hold of something on all sides; to take or catch hold of, seize, grasp, apprehend; to comprehend, comprise (class. in prose and poetry)."
augeri,augeo,VERB,13,-,"Act., to increase, to nourish (orig., to produce, bring forth that not already in existence; in which signification only the derivative auctor is now found)."
reliquis,reliquus,DET,13,-,"That is left or remains, that is left behind, remaining, = relictus (freq. and a good prose word; not found in Cat., Tib., Verg., or Hor.)."
pervenerunt,pervo,VERB,13,-,Def. não encontrada
circumdederunt,circumdo,VERB,13,-,"To put, set, or place around, i. e. both to wrap around (e. g. a mantle). and also to enclose (e. g. a town with a wall; syn.: cingo, vestio, saepio, circumvallo al.), with a twofold construction (cf. Zumpt, Gr. § )."
barbari,barbo,VERB,13,-,Def. não encontrada
cuius,qui,ADJ,13,-,"Interrog., who? which? what? what kind or sort of a? (adjectively; while quis, quid is used substantively; qui, of persons, asks for the character, quis usu. for the name)."
nervios,nervius,NOUN,13,-,"Nervĭus, a, um, v. Nerva, II."
interposita,interpono,VERB,13,-,"To put, place, lay, or set between or among, to interpose, insert between."
circumventi,circumvo,VERB,13,-,Def. não encontrada
veriti,vereo,VERB,13,-,Def. não encontrada
igni,ignis,NOUN,13,3,"Scanned ignis,Verg. E. , ; id. G. , ; Ov. H. , ; Lucr. , ; ; but ignīs,Hor. C. , , ), m.Sanscr. agnis, fire; Lith. ugn-is; Slav. ogný; Gr. αἴγλη, ἀγλαός, fire (com mon in sing. and plur.; cf. flamma, incendium)."
solis,sol,NOUN,13,3,"Sing., the sun, as a heavenly body."
proditum,prodeo,VERB,13,-,"Post-class., prodient, for prodibunt,Lact. ,  fin.), pro-eo, to go or come forth (class.; cf.: proficiscor, progredior)."
supplicium,supplicium,NOUN,13,2,As a suppliant.
sollicitare,sollicito,VERB,13,-,"To disturb, stir, agitate, move; to distress, harass, make uneasy, vex, solicit, tempt, seduce, attract, induce."
fama,fama,NOUN,13,1,"The talk of the multitude, like rumor, either as relating or as judging (v. rumor; cf. also: nomen, gloria, laudatio; clamor, plausus; honos, dignitas, honestas, laus, etc.)."
persequi,persequor,VERB,13,-,"V. dep. a. and n. (act. collat. form of the imperat. persece for perseque, Poët. ap. Cic. Att. ,  fin.)."
sperare,spero,VERB,13,-,"To hope (something desirable), to look for, trust, expect; to promise or flatter one's self (the predom. signif. of the word; syn.: confido, exspecto)."
finitimas,finitimus,ADJ,13,-,"Bordering upon, adjoining, neighboring (class.; syn.: vicinus, confinis, conterminus, contiguus, continens)."
gaium,gaius,NOUN,13,-,In partic.
exspectare,exssecto,VERB,13,-,Def. não encontrada
permotus,permoueo,VERB,13,-,Def. não encontrada
provisum,provideo,VERB,13,-,Neutr.
vel,vel,CCONJ,13,-,"Conj. and  old imv. of volo prop., will, choose, take your choice; hence"
temptare,tempto,VERB,13,-,Def. não encontrada
consedisse,consedio,VERB,13,-,Def. não encontrada
vix,vix,ADV,13,-,"With difficulty, with much ado, hardly, scarcely, barely."
persuadet,persuadeo,VERB,13,-,"To bring over by talking, to convince of the truth of any thing, to persuade (cf. convinco)."
attingunt,attingo,VERB,12,-,"V.infra; attinge = attingam, acc. to Paul. ex Fest. p.  Müll.; v. Müll. ad h. l.; concerning attigo, āre, v. fin.), to touch, come in contact with; constr. with the acc.; poet. with ad."
dolore,dolor,NOUN,12,3,"Pain, smart, ache (freq. and class.; for syn. cf.: aegrimonia,  maeror, maestitia, luctus, plangor, tristitia, angor, anxietas, cura, sollicitudo)."
equis,equa,NOUN,12,1,equus
principatum,principatus,NOUN,12,-,"The first place, pre-eminence, preference (class.)."
interfecto,interfero,VERB,12,-,Def. não encontrada
pecunias,pecunia,NOUN,12,1,"Property, riches, wealth (cf.: divitiae, res, bona, etc.)."
hora,hora,NOUN,12,1,"Gen. sing. horāï, Lucr. , .—In abl. plur. HORABVS,  Inscr. Orell. ), f. kindred with ὥρα; Zend yare, year; ayara, day; orig. for ϝοsara, from ϝέαρ, ver, (lit., a definite space of time, fixed by natural laws; hence, as in Greek)."
sentire,sentio,VERB,12,-,"Perf. sync. sensti, Ter. And. , , )"
reficiendas,reficio,VERB,12,-,"To make again, make anew, put in condition again; to remake, restore, renew, rebuild, repair, refit, recruit, etc. (freq. and class.; syn.: renovo, restauro, redintegro)."
valent,valeo,VERB,12,-,To be strong.
laudem,laus,NOUN,12,3,"Gen. plur. laudium, Sid. Carm. , ), f. for claus, from clavid, kindred to cluo and the Greek κλέϝος, praise, commendation, glory, fame, renown, esteem (cf.: gloria, praeconium, elogium)."
usque,usque,ADP,12,-,"Lit., all the way to or from any limit of space, time, etc. (cf.: fine, tenus); of place, all the way, right on, without interruption, continuously, constantly."
multo,multo,ADV,12,-,Fin. B.
noceri,noceo,VERB,12,-,"nŏcĕo, cŭi, cĭtum,  ("
numquam,numquam,ADV,12,-,Followed by a negative.
consili,consilis,NOUN,12,-,Def. não encontrada
appropinquare,appropinquo,VERB,12,-,"To come near, draw nigh to, to approach."
cupiditate,cupiditas,NOUN,12,3,"Gen. plur. rarely -tatium, Cic. Sest. , ; Sen. Ep. , ), f. cupidus, a desire, wish, longing, in a good and (more freq.) in a bad sense."
praestare,praesto,VERB,12,-,"Bonorum officio praestus fui,Inscr. Grut. , ), adv.dat. from praestus, a sup. form from prae, so that praesto esse alicui = to be or stand in the foremost place for or as respects one, at hand, ready, present, here; usually with esse (very freq. and class.)."
unde,unde,ADV,12,-,"From which place, whence."
speciem,species,NOUN,12,-,"Pass., prop. that which is seen in a thing, i. e. the outward appearance, outside, exterior; shape, form, figure, mien, etc. (freq. and class.; syn. forma)."
gergoviam,gergovia,NOUN,12,1,"A town of the Arverni, in Aquitanian Gaul, perh. in the neighborhood of the modern Clermont, now Jargean, Caes. B. G. , ; ; ; ."
adiunctis,adiungo,VERB,12,-,Def. não encontrada
barbaris,barbarus,ADJ,12,-,"Gen. plur. m. barbarum, Tac. A. , ; , ), adj., = βάρβαρος [cf. barrio; balo, balbus; blatio]."
sive,sive,CCONJ,12,-,"Conj. [si-ve], a disjunctive conditional particle, or if = vel si."
redierat,redeo,VERB,12,-,"Pres. redīnunt, Enn. ap. Fest. p.  Müll.; cf.: obinunt, ferinunt, nequinunt, solinunt, for obeunt, feriunt, nequeunt, solent; and danit, danunt, for dat, dant; rare fut. redies, App. M. , , and Sen. Ben. , , ; cf. Vulg. Lev. , ; id. Jer. , )"
nota,nosco,VERB,12,-,"Transf., in the tempp. praes."
arcesseret,arcedo,VERB,12,-,Def. não encontrada
potiuntur,potior,VERB,12,-,"Lit., to become master of, to take possession of, to get, obtain, acquire, receive; constr. with gen., acc., abl., and absol. (class.; syn.: occupo, invado)."
circuitu,circuitus,NOUN,12,-,"circŭĭtus, a, um, Part., from circumeo."
concidit,concido,VERB,12,-,"To fall together, to fall down, to tumble to the ground (class. in prose and poetry)."
usui,usuus,NOUN,12,-,Def. não encontrada
britannia,britannus,ADJ,12,-,Def. não encontrada
laborantibus,laboro,VERB,12,-,A. [. labor].
fortissimi,fortis,ADJ,12,-,"Strong, powerful."
pollicitus,pollicitus,ADJ,12,-,"pollĭcĭtus, a, um, Part., from polliceor."
alesiam,alesia,NOUN,12,1,"A city of the Mandubii in Celtic Gaul, now Alise in the Dép. de la Cōte d' Or, Caes. B. G. , ; id. B. C. , ; Vell. , .—Also, , , , = Ἀλεξία Strabo, Flor. , ; cf. Mannert Gall. ."
paucitatem,paucitas,NOUN,12,3,paucus
adesse,adsum,VERB,12,-,"Absol.: visus Homerus adesse poëta, Enn. ap. Cic. Ac. , ,  (Ann. v.  Vahl.), imitated by Verg. A. , , and Ov. M. , ; v. below: Hegio adsum; si quid me vis, impera,Plaut. Capt. , , ; so id. Truc. , , ; , , : quasi adfuerim simulabo,id. Am. , , ."
solo,solus,DET,12,-,"Gen. regular. solius; dat. soli; gen. m. soli, Cato ap. Prisc. p.  P.; dat. m. SOLO, Inscr. Orell. ; f. solae, Plaut. Mil. , , ; Ter. Eun. , , ), adj. orig. the same with sollus, q. v.; cf. salus. By Pott referred to sui, Kühn. Zeitschr. , ."
amicus,amicus,NOUN,12,-,"Amicum est mihi (after the Gr. φίλον ἐστί μοι; in pure Lat., mihi cordi est, etc.); with inf., it pleases me, it accords with my feelings: nec dis amicum est nec mihi te prius Obire,Hor. C. , , .—Hence, adv., in a friendly manner, kindly, amicably."
vercingetorige,vercingetorigus,NOUN,12,-,Def. não encontrada
communicato,communico,VERB,12,-,"Dep. access. form, communicati sint = communicaverint, Liv. , , ) [communis]."
verterent,verto,VERB,12,-,"Inf. vortier, Plaut. Rud. , , ; Lucr. , ; , ; ,  al.), v. a. and n. Sanscr. root vart-, to apply one's self, turn; cf. vart-ukas, round."
inita,initus,ADJ,12,-,"ĭnĭtus, a, um, Part., from ineo."
filio,filius,NOUN,12,2,"Dat. plur. FILIBVS, Inscr. Grut. , ; , , like DIIBVS from deus), m. root fev-o, to give birth to (fe-o), whence: fecundus, femina, felix, etc., lit., he who is born, a son (syn. plur.: nati, liberi)."
an,an,SCONJ,11,-,In disjunctive interrogations.
germanos,germanus,NOUN,11,-,"Full, own (very freq. and class.)."
tutum,tutus,ADJ,11,-,"tūtus, a, um, Part. and  of tueor."
singularis,singularis,ADJ,11,-,In partic.
imperavit,imperavo,VERB,11,-,Def. não encontrada
pabulatione,pabulatio,NOUN,11,3,Pasture.
diversis,diversus,ADJ,11,-,"dīversus, a, um, Part. and , from diverto."
conspexit,conspicio,VERB,11,-,"To look at attentively, to get sight of, to descry, perceive, observe (class. in prose and poetry)."
interesse,intersum,VERB,11,-,"In tmesi: interque esse desiderat pugnis,Arn. , ), , to be between, lie between (class.; syn. interjaceo)."
auctor,auctor,NOUN,11,3,"Of works of art, a maker, artist: statua auctoris incerti,Plin. , , , § : apparuit summam artis securitatem auctori placaisse, id. praef. § ."
experti,experior,VERB,11,-,"To try, prove, put to the test."
occultari,occulto,VERB,11,-,P. a. fin.
cotidie,cotidie,ADV,11,-,Def. não encontrada
excitari,excito,VERB,11,-,"To call out or forth, to bring or send out, to wake or rouse up (freq. and class.; cf.: provoco, evoco; irrito, lacesso, invito)."
versari,verso,VERB,11,-,"Inf. vorsarier, Plaut. Poen. , , ),  verto, to turn, wind, twist, or whirl about often or violently (freq. and class.; syn.: verto, contorqueo)."
